启动遗传算法优化
种群大小: 50
进化代数: 500
变异率: 0.05
交叉率: 0.8
精英保留比例: 0.1 (5个体)
初始化模式: random
并行评估: True, workers: 12
日志文件: ga_results/ga_run.log
------------------------------------------------------------
启动遗传算法优化
种群大小: 50
进化代数: 500
变异率: 0.05
交叉率: 0.8
精英保留比例: 0.1 (5个体)
初始化模式: random
并行评估: True, workers: 12
日志文件: ga_results/ga_run.log
------------------------------------------------------------
第   0 代 | 最优适应度:  0.4265 | 平均适应度:  0.2817 | 标准差:  0.0590
第 293 代 | 最优适应度:  0.8380 | 平均适应度:  0.7157 | 标准差:  0.0540
第 294 代 | 最优适应度:  0.8380 | 平均适应度:  0.7171 | 标准差:  0.0534
第 295 代 | 最优适应度:  0.8380 | 平均适应度:  0.7158 | 标准差:  0.0504
第 296 代 | 最优适应度:  0.8380 | 平均适应度:  0.7067 | 标准差:  0.0584
第 297 代 | 最优适应度:  0.8380 | 平均适应度:  0.7084 | 标准差:  0.0623
第 298 代 | 最优适应度:  0.8380 | 平均适应度:  0.7176 | 标准差:  0.0570
第 299 代 | 最优适应度:  0.8380 | 平均适应度:  0.7079 | 标准差:  0.0682
第 300 代 | 最优适应度:  0.8380 | 平均适应度:  0.7240 | 标准差:  0.0547
第 301 代 | 最优适应度:  0.8380 | 平均适应度:  0.7125 | 标准差:  0.0623
第 302 代 | 最优适应度:  0.8380 | 平均适应度:  0.7204 | 标准差:  0.0527
第 303 代 | 最优适应度:  0.8380 | 平均适应度:  0.7113 | 标准差:  0.0631
第 304 代 | 最优适应度:  0.8380 | 平均适应度:  0.7242 | 标准差:  0.0541
第 305 代 | 最优适应度:  0.8380 | 平均适应度:  0.7224 | 标准差:  0.0585
第 306 代 | 最优适应度:  0.8380 | 平均适应度:  0.7195 | 标准差:  0.0579
第 307 代 | 最优适应度:  0.8380 | 平均适应度:  0.7105 | 标准差:  0.0636
第 308 代 | 最优适应度:  0.8380 | 平均适应度:  0.7103 | 标准差:  0.0586
第 309 代 | 最优适应度:  0.8380 | 平均适应度:  0.7223 | 标准差:  0.0528
第 310 代 | 最优适应度:  0.8380 | 平均适应度:  0.7212 | 标准差:  0.0628
第 311 代 | 最优适应度:  0.8380 | 平均适应度:  0.7229 | 标准差:  0.0541
第 312 代 | 最优适应度:  0.8380 | 平均适应度:  0.7242 | 标准差:  0.0543
第 313 代 | 最优适应度:  0.8380 | 平均适应度:  0.7186 | 标准差:  0.0580
第 314 代 | 最优适应度:  0.8380 | 平均适应度:  0.7194 | 标准差:  0.0637
第 315 代 | 最优适应度:  0.8380 | 平均适应度:  0.7198 | 标准差:  0.0610
